vendor_id,vendor,product_id,product,version_id,full_cpe_str,version_title,assigner,assignerSourceName,cveNumber,cveId,cveYear,publishDate,updateDate,exploitExists,exploitExistenceChangeDate,isInCISAKEV,assignerId,nvdVulnStatus,summary,evaluatorComment,evaluatorSolution,evaluatorImpact,cisaExploitAdd,cisaActionDue,cisaVulnerabilityName,cisaRequiredAction,cisaShortDescription,cisaNotes,epssScore,epssScoreChangeDate,epssPercentile,configCount,configConditionCount,vendorCommentCount,referenceCount,metricCount,weaknessCount,maxCvssBaseScore,maxCvssBaseScorev2,maxCvssBaseScorev3,maxCvssBaseScorev4,maxCvssBaseScoreChangeDate,maxCvssExploitabilityScore,maxCvssImpactScore,isOverflow,isMemoryCorruption,isSqlInjection,isXss,isDirectoryTraversal,isFileInclusion,isCsrf,isXxe,isSsrf,isOpenRedirect,isInputValidation,isCodeExecution,isBypassSomething,isGainPrivilege,isDenialOfService,isInformationLeak,isUsedForRansomware,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202300022128,CVE-2023-22128,2023,2023-10-17 22:15:17,2023-10-23 18:49:30,no_data,no_data,no_data,51,Analyzed,Vulnerability in the Oracle Solaris product of Oracle Systems (component: Filesystem).  Supported versions that are affected are 10 and  11. Difficult to exploit vulnerability allows unauthenticated attacker with network access via rquota to compromise Oracle Solaris.  Successful attacks require human interaction from a person other than the attacker. Successful attacks of this vulnerability can result in  unauthorized read access to a subset of Oracle Solaris accessible data. CVSS 3.1 Base Score 3.1 (Confidentiality impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N).,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00069,2024-10-23 23:20:15,0.31472,1,no_data,no_data,1,2,no_data,3.1,no_data,3.1,no_data,2023-10-17 22:49:38,1.6,1.4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202300022003,CVE-2023-22003,2023,2023-04-18 20:15:19,2023-04-19 19:53:25,no_data,no_data,no_data,51,Analyzed,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: Utility).  Supported versions that are affected are 10 and  11. Easily exploitable vulnerability allows unauthenticated attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris.  Successful attacks require human interaction from a person other than the attacker. Successful attacks of this vulnerability can result in  unauthorized update, insert or delete access to some of Oracle Solaris accessible data. CVSS 3.1 Base Score 3.3 (Integrity impacts).  CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N).",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00055,2024-09-28 23:06:27,0.23632,1,no_data,no_data,1,1,no_data,3.3,no_data,3.3,no_data,no_data,1.8,1.4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202300021985,CVE-2023-21985,2023,2023-04-18 20:15:18,2024-09-16 15:35:08,no_data,no_data,no_data,51,Modified,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: Utility).  Supported versions that are affected are 10 and  11. Easily exploitable vulnerability allows high privileged attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris.  Successful attacks require human interaction from a person other than the attacker and while the vulnerability is in Oracle Solaris, attacks may significantly impact additional products (scope change). Successful attacks of this vulnerability can result in takeover of Oracle Solaris. CVSS 3.1 Base Score 7.7 (Confidentiality, Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H).",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00045,2024-11-08 23:03:08,0.16850,1,no_data,no_data,1,1,1,7.7,no_data,7.7,no_data,2024-09-16 16:34:53,1.1,6.0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202300021948,CVE-2023-21948,2023,2023-04-18 20:15:15,2023-04-19 14:28:39,no_data,no_data,no_data,51,Analyzed,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: Core).   The supported version that is affected is 10. Easily exploitable vulnerability allows low privileged attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris.  Successful attacks of this vulnerability can result in takeover of Oracle Solaris. CVSS 3.1 Base Score 7.8 (Confidentiality, Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H).",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00045,2024-11-08 23:03:08,0.16850,1,no_data,no_data,1,1,no_data,7.8,no_data,7.8,no_data,no_data,1.8,5.9,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202300021900,CVE-2023-21900,2023,2023-01-18 00:15:17,2023-01-25 14:28:57,no_data,no_data,no_data,51,Analyzed,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: NSSwitch).  Supported versions that are affected are 10 and  11. Difficult to exploit vulnerability allows high privileged attacker with network access via multiple protocols to compromise Oracle Solaris.  Successful attacks require human interaction from a person other than the attacker and while the vulnerability is in Oracle Solaris, attacks may significantly impact additional products (scope change). Successful attacks of this vulnerability can result in  unauthorized update, insert or delete access to some of Oracle Solaris accessible data and unauthorized ability to cause a partial denial of service (partial DOS) of Oracle Solaris. CVSS 3.1 Base Score 4.0 (Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:N/AC:H/PR:H/UI:R/S:C/C:N/I:L/A:L).",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00053,2024-08-09 23:59:21,0.21733,1,no_data,no_data,1,2,no_data,4.0,no_data,4.0,no_data,no_data,1.0,2.7,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,1,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202300021896,CVE-2023-21896,2023,2023-04-18 20:15:12,2024-09-17 02:35:15,no_data,no_data,no_data,51,Modified,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: NSSwitch).  Supported versions that are affected are 10 and  11. Difficult to exploit vulnerability allows low privileged attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris.  Successful attacks of this vulnerability can result in takeover of Oracle Solaris. CVSS 3.1 Base Score 7.0 (Confidentiality, Integrity and Availability impacts).  CVSS Vector: (CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H).",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00045,2024-11-08 23:03:07,0.16850,1,no_data,no_data,1,1,1,7.0,no_data,7.0,no_data,2024-09-17 02:53:27,1.0,5.9,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202200021439,CVE-2022-21439,2022,2022-07-19 22:15:10,2022-07-23 03:16:57,no_data,no_data,no_data,51,Analyzed,Vulnerability in the Oracle Solaris product of Oracle Systems (component: Kernel). Supported versions that are affected are 10 and 11. Easily exploitable vulnerability allows high privileged attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris. Successful attacks require human interaction from a person other than the attacker. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of Oracle Solaris. CVSS 3.1 Base Score 4.2 (Availability impacts). CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:H/UI:R/S:U/C:N/I:N/A:H).,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00045,2024-02-09 23:19:51,0.12082,1,no_data,no_data,1,1,no_data,4.2,no_data,4.2,no_data,no_data,0.6,3.6,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,1,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,cve@mitre.org,MITRE,202100043395,CVE-2021-43395,2021,2022-12-26 06:15:11,2023-01-05 17:26:09,no_data,no_data,no_data,1,Analyzed,"An issue was discovered in illumos before f859e7171bb5db34321e45585839c6c3200ebb90, OmniOS Community Edition r151038, OpenIndiana Hipster 2021.04, and SmartOS 20210923. A local unprivileged user can cause a deadlock and kernel panic via crafted rename and rmdir calls on tmpfs filesystems. Oracle Solaris 10 and 11 is also affected.",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00066,2024-08-16 23:40:11,0.29726,5,no_data,no_data,9,1,no_data,5.5,no_data,5.5,no_data,no_data,1.8,3.6,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202100002167,CVE-2021-2167,2021,2021-04-22 22:15:13,2021-04-23 19:17:51,no_data,no_data,no_data,51,Analyzed,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: Common Desktop Environment). The supported version that is affected is 10. Easily exploitable vulnerability allows low privileged attacker with logon to the infrastructure where Oracle Solaris executes to compromise Oracle Solaris. Successful attacks of this vulnerability can result in takeover of Oracle Solaris. CVSS 3.1 Base Score 7.8 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H).",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00045,no_data,0.12449,1,no_data,no_data,1,2,no_data,7.8,4.6,7.8,no_data,no_data,3.9,6.4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,secalert_us@oracle.com,Oracle,202000014871,CVE-2020-14871,2020,2020-10-21 15:15:25,2024-08-14 20:09:46,1,2021-11-03 00:00:00,1,51,Analyzed,"Vulnerability in the Oracle Solaris product of Oracle Systems (component: Pluggable authentication module). Supported versions that are affected are 10 and 11. Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Solaris. While the vulnerability is in Oracle Solaris, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in takeover of Oracle Solaris. Note: This CVE is not exploitable for Solaris 11.1 and later releases, and ZFSSA 8.7 and later releases, thus the CVSS Base Score is 0.0. CVSS 3.1 Base Score 10.0 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H).",no_data,no_data,no_data,2021-11-03,2022-05-03,Oracle Solaris and Zettabyte File System (ZFS) Unspecified Vulnerability,Apply updates per vendor instructions.,"Oracle Solaris and Oracle ZFS Storage Appliance Kit contain an unspecified vulnerability causing high impacts to confidentiality, integrity, and availability of affected systems.",https://nvd.nist.gov/vuln/detail/CVE-2020-14871,0.87842,2024-11-30 23:04:32,0.98785,1,no_data,no_data,7,2,2,10.0,10.0,10.0,no_data,2024-07-03 09:17:35,10.0,10.0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,cve@mitre.org,MITRE,202000012243,CVE-2020-12243,2020,2020-04-28 19:15:12,2022-04-29 13:24:39,no_data,no_data,no_data,1,Analyzed,"In filter.c in slapd in OpenLDAP before 2.4.50, LDAP search filters with nested boolean expressions can result in denial of service (daemon crash).",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.09157,2024-08-22 23:06:20,0.94752,16,16,no_data,12,2,1,7.5,5.0,7.5,no_data,no_data,10.0,3.6,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,1,no_data,no_data,no_data
93,Oracle,19755,Solaris,1312821,cpe:2.3:o:oracle:solaris:10:*:*:zh:sparc:*:*:*,Oracle Solaris 10 Zh Sparc Edition,cve@mitre.org,MITRE,202000010108,CVE-2020-10108,2020,2020-03-12 13:15:12,2024-11-25 18:12:25,no_data,no_data,no_data,1,Modified,"In Twisted Web through 19.10.0, there was an HTTP request splitting vulnerability. When presented with two content-length headers, it ignored the first header. When the second content-length value was set to zero, the request body was interpreted as a pipelined request.",no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.00934,2024-07-06 23:52:11,0.83152,5,no_data,no_data,18,2,1,9.8,7.5,9.8,no_data,2024-11-25 19:25:16,10.0,6.4,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
